WY,octmaxout,octmeanout,octmedout,octminout,novmaxout,novmeanout,novmedout,novminout,decmaxout,decmeanout,decmedout,decminout,janmaxout,janmeanout,janmedout,janminout,febmaxout,febmeanout,febmedout,febminout,marmaxout,marmeanout,marmedout,marminout,aprmaxout,aprmeanout,aprmedout,aprminout,maymaxout,maymeanout,maymedout,mayminout,junmaxout,junmeanout,junmedout,junminout,julmaxout,julmeanout,julmedout,julminout,augmaxout,augmeanout,augmedout,augminout,sepmaxout,sepmeanout,sepmedout,sepminout,SAC_min,SAC_max,SAC_mean,SAC_median,YOLO_min,YOLO_max,YOLO_mean,YOLO_median,CSMR_min,CSMR_max,CSMR_mean,CSMR_median,MOKE_min,MOKE_max,MOKE_mean,MOKE_median,MISC_min,MISC_max,MISC_mean,MISC_median,SJR_min,SJR_max,SJR_mean,SJR_median,EAST_min,EAST_max,EAST_mean,EAST_median,TOT_min,TOT_max,TOT_mean,TOT_median,CCC_min,CCC_max,CCC_mean,CCC_median,SWP_min,SWP_max,SWP_mean,SWP_median,CVP_min,CVP_max,CVP_mean,CVP_median,NBAQ_min,NBAQ_max,NBAQ_mean,NBAQ_median,EXPORT_min,EXPORT_max,EXPORT_mean,EXPORT_median,GCD_min,GCD_max,GCD_mean,GCD_median,PREC_min,PREC_max,PREC_mean,PREC_median,MISDV_min,MISDV_max,MISDV_mean,MISDV_median,CD_min,CD_max,CD_mean,CD_median,XGEO_min,XGEO_max,XGEO_mean,XGEO_median,WEST_min,WEST_max,WEST_mean,WEST_median,RIO_min,RIO_max,RIO_mean,RIO_median,OUT_min,OUT_max,OUT_mean,OUT_median,EXPIN_min,EXPIN_max,EXPIN_mean,EXPIN_median,DIVE_min,DIVE_max,DIVE_mean,DIVE_median,EFFECT_min,EFFECT_max,EFFECT_mean,EFFECT_median,EFFD_min,EFFD_max,EFFD_mean,EFFD_median,X2_min,X2_max,X2_mean,X2_median,spawn_days_over_20k,spawn_days_over_30k,peak_spawn_days_over_20k,peak_spawn_days_over_30k,Dec_days_over_30k,Jan_days_over_30k,Feb_days_over_30k,Mar_days_over_30k,Apr_days_over_30k,May_days_over_30k
1956,7339,5956.967742,6178,4793,19515,10676.2,10477.5,6489,409273,125021.5484,31652,15448,295158,188311.4839,186338,134811,172276,98144.51724,88146,52755,122071,63542.09677,53410,43885,49147,40217.46667,39437.5,32970,76809,59667.3871,62436,38722,62232,35497.56667,30107,17178,20748,8794.645161,7833,5661,7982,7029.741935,7069,5712,17179,12055.63333,12468.5,7715,7330,90200,30873.82514,21650,4,249600,13632.89344,87.5,0,35600,1054.497268,278.5,25,14200,1306.510929,1080,0,5203,902.5983607,82,615,47400,8679.019126,4155,743,69332,11942.62568,6525,8291,383322,56449.34426,33292,26,128,61.24590164,55.5,0,0,0,0,0,3385,999.9398907,491,0,0,0,0,26,3468,1061.185792,550,850,4400,2331.557377,2000,0,28843,1609.07377,0,0,0,0,0,-26793,4400,722.4836066,1700,2292,12825,5504.557377,4972.5,-1987,99003,15916.47541,10667.5,2611,334251,38799.87705,18117.5,4793,409273,54665.67486,30800,0,0.25,0.062896175,0.02,-35,58,15.11748634,6,7399,385133,50647.20765,27388.5,-37,52,4.117486339,-4,NA,NA,NA,NA,172,169,60,60,17,31,29,31,30,31
1957,19736,12733.54839,11946,11236,22112,16190.7,15701,13592,16429,13925.32258,13850,12443,24989,15718.64516,16029,11011,115684,24489.60714,11942.5,9179,130506,63622.03226,57349,23499,32763,20479.83333,19116,11798,80796,32732.09677,19096,11652,32850,15580.73333,11996,2904,3060,2427.193548,2645,1446,5545,3708.064516,3788,2161,14798,9012.8,9359,5883,8730,83200,18216.08219,12700,2,39583,1065.742466,25,0,7220,323.8821918,59,60,4130,492.0931507,371,0,1024,129.690411,32,555,9260,1992.331507,1830,644,13284,2937.99726,2400,9619,127125,22219.82192,15540,33,140,74.10958904,64,0,0,0,0,0,4418,1631.824658,1728,0,0,0,0,38,4467,1705.934247,1827,850,4400,2335.342466,2000,0,13249,1039.276712,0,0,0,0,0,-11349,4400,1296.065753,1850,2108,11894,4734.369863,4838,-1118,27063,5124.115068,4253,2872,105399,14184.59178,9365,1446,130506,19217.82192,13565,0,0.38,0.108383562,0.07,-38,85,22.93150685,15,8875,124719,20719.16164,13835,-41,84,16.11232877,6,NA,NA,NA,NA,69,47,11,5,0,0,5,25,4,13
1958,33474,19506.67742,18188,12640,33079,19732.26667,18280,15809,49984,26825.83871,19300,14633,98412,44482.16129,38069,27954,283836,184221.1429,177407,99310,213179,111577.2903,107126,60340,280134,153782.2333,128606,80410,103531,78858.96774,76519,64736,76810,50529.16667,49898,24723,22410,12009.03226,10356,7849,12072,9224.419355,8725,6861,17202,14392.53333,14208.5,10873,12200,88800,35750.9589,27700,7,174510,13210.27671,418,0,25800,1103.389041,126,183,4760,1111.041096,475,0,5497,1053.90411,101,1410,40900,8365.534247,2700,1723,65557,11633.86849,3650,14336,278826,60595.10411,32548,27,121,66.1260274,59,0,0,0,0,0,3613,915.9369863,509,0,0,0,0,27,3713,982.0630137,585,850,4400,2335.342466,2000,0,24066,2142.284932,0,0,0,0,0,-22316,4400,193.0575342,1866,2637,28108,7982.857534,6279,1586,102420,18509.30411,9219,5484,250123,40924.30959,23593,6861,283836,59419.98356,32988,0,0.24,0.04630137,0.01,-27,52,10.32876712,5,12656,274556,55080.18904,30623,-30,46,0.008219178,-4,NA,NA,NA,NA,166,160,59,56,12,28,28,31,30,31
1959,15352,13051.3871,12882,11186,15493,14722.93333,15050.5,13711,17862,14437.16129,14790,11844,58414,32889.74194,31915,11753,130420,58739.17857,40008,21724,57059,27659.41935,23230,18664,19652,11640.4,11185.5,4447,9934,7303.387097,7707,4435,3598,1322.433333,1228,302,5298,2560.935484,2340,1326,6787,5194.064516,5000,4063,29324,9925.066667,6383,4702,7140,67300,16541.12329,12600,0,46902,816.9616438,20,0,3420,160.1890411,30,23,741,174.9616438,106,0,1404,154.6876712,34,206,5560,1717.717808,1150,236,10447,2207.556164,1752,7690,122938,19565.6411,14761,43,192,94.77534247,89,0,0,0,0,0,4095,1851.821918,1957,0,0,0,0,49,4247,1946.59726,2050,850,4400,2335.342466,2000,0,16189,1069.726027,0,0,0,0,0,-13839,4400,1265.616438,1900,2318,9779,5488.610959,5488,-1832,24843,4927.010959,5333,1886,106651,11515.09863,6375,302,130420,16353.4274,12233,0,0.45,0.149260274,0.11,-93,96,29.47945205,18,7214,120986,18355.17534,13408,-75,96,23.79726027,11,NA,NA,NA,NA,78,49,53,40,0,18,22,9,0,0
1960,6417,5683.129032,5734,4799,6867,6016.333333,5859.5,5528,13051,6937.83871,5996,5271,26122,14230.74194,12317,6917,148367,49316.13793,37469,16464,66146,33273.19355,28463,12833,30643,16877.9,18313,7674,20260,12407.29032,12173,9325,9350,3847.2,2470,1377,3431,2244.451613,2055,900,4485,2730.83871,2493,2045,6674,5500.1,5329.5,4517,6260,69100,14819.5082,10100,1,67482,791.8360656,30,0,6600,191.0300546,0,15,661,62.21311475,30,0,712,88.02459016,16,143,3100,757.4781421,617.5,178,9060,1098.745902,1011,7564,142860,16710.09016,10622,49,199,104.8333333,88,0,0,0,0,68,4154,1914.311475,1790,0,0,0,0,136,4332,2019.144809,1922.5,850,4400,2331.557377,2000,0,11785,755.7650273,0,0,0,0,0,-10885,4400,1575.79235,1850,3924,11671,5755.803279,5020,-2119,23023,3811.229508,3387,1848,128149,9414.322404,4177.5,900,148367,13115.15301,6297,0,0.43,0.155191257,0.11,-70,91,33.18032787,31,6474,142325,16104.55464,10274.5,-65,90,29.21311475,22,NA,NA,NA,NA,68,31,28,17,0,0,17,13,1,0
1961,6047,5012.741935,5031,3793,26497,13543.06667,12469.5,6265,38067,19090,16553,12080,34789,15579.67742,13091,10150,58855,41997.28571,43622.5,23782,42537,28425.16129,28540,19616,24940,13397.33333,11792,4705,11823,8579.83871,8420,5725,9927,3541.3,1788,347,2468,1672.225806,1552,856,5393,4006.83871,4047,2124,8121,5650.933333,5474.5,4321,6780,49500,15740.43836,11900,2,3912,223.1315068,19,0,606,60.07945205,15,12,707,75.21917808,31,0,36,5.479452055,0,30,1590,603.8876712,394,47,2487,744.6657534,563,7714,52585,16708.23562,12523,48,210,108.1315068,117,0,0,0,0,0,4934,2056.035616,2019,0,0,0,0,48,5139,2164.167123,2158,850,4400,2335.342466,2000,0,18236,978.2986301,0,0,0,0,0,-17286,4400,1357.043836,1850,2531,12843,5915.671233,5400,-2810,19092,3614.178082,2818,2217,43910,9667.936986,5823,347,58855,13187.02466,9112,0,0.48,0.169150685,0.16,-105,96,31.39452055,31,6819,51880,16263.28767,12075,-87,96,29.03561644,27,NA,NA,NA,NA,79,44,34,25,4,2,23,15,0,0
1962,5574,4259.677419,4484,2768,17094,8251.3,5720.5,5234,42377,16139.77419,11617,8510,28555,11132.3871,8698,6766,170651,74766.14286,71454.5,11399,80546,47503.25806,44325,28813,32411,27384.86667,28908,21045,24790,18173.22581,18228,13193,16705,10317.13333,10419.5,3435,3888,2795.032258,2675,2406,7047,5027.645161,5006,2895,9868,8515.166667,8478,6953,6660,70100,17929.31507,12000,1,70423,1453.057534,41,0,7520,309.8,5,20,2290,302.3780822,232,0,2826,301.0109589,17,291,12500,2054.016438,896,324,18713,2967.205479,1114,7068,157492,22349.57808,13135,42,175,98.99178082,94,0,0,0,0,0,4434,1873.912329,1842,0,0,0,0,46,4583,1972.90411,1970,850,4400,2335.342466,2000,0,21834,1091.454795,0,0,0,0,0,-20984,4400,1243.887671,1900,2318,11905,6148.657534,5400,-2918,37255,6334.528767,4560,2075,134005,12885.45753,5876,2406,170651,19132.7863,9646,0,0.39,0.129726027,0.11,-53,79,26.75342466,25,6686,154356,20796.14247,12305,-46,77,21.33972603,17,NA,NA,NA,NA,105,59,24,20,4,0,20,27,8,0
1963,240493,42900,21523,6177,23050,16350.93333,15487.5,14366,66244,35012.70968,32180,18952,55965,20994.64516,19700,14490,381101,103172.7143,78190,38009,81175,29179.74194,23291,15177,160248,102776.1667,109300.5,48431,67701,53123.51613,52222,44222,44829,19179.83333,17111,7699,9145,5638.935484,5538,3100,7229,5037.870968,5074,3003,18181,13479.56667,14560.5,7801,8720,94400,28020.08219,18800,9,230107,5575.723288,88,0,17300,633.2712329,79,28,5230,777.1479452,271,0,1962,397.7013699,81,1000,13100,3884.849315,2090,1088,26352,5692.969863,2736,10159,350859,39288.77534,23495,43,192,86.50136986,58,0,0,0,0,0,4382,1855.805479,1670,0,0,0,0,45,4564,1942.306849,1780,850,4400,2335.342466,2000,0,31696,1676.383562,0,0,0,0,0,-30796,4400,658.9589041,1700,3289,13384,6702.482192,6631,-907,59199,10024.9589,7569,3540,319746,26708.80822,11209,3003,381101,36687.50959,19829,0,0.37,0.095917808,0.05,-23,74,18.76986301,11,9019,352989,36610.36164,20393,-21,71,11.56986301,3,NA,NA,NA,NA,154,116,43,29,18,1,28,8,30,31
1964,23155,14978.25806,13704,10350,46025,27944.96667,26937,13425,28107,22824.90323,21919,21088,70873,29970.09677,20512,17103,29727,20914.51724,20465,15222,18190,13072.6129,12526,10282,18346,9186.6,7385.5,4821,11998,9783.580645,9697,6843,13743,5302.433333,4497,1344,4275,3184.709677,3313,1413,9468,4703.548387,4187,2909,12117,9441.6,9563,7285,9030,52200,16017.56831,13900,0,3221,92.08743169,28,0,4860,186.2486339,100,10,680,123.6721311,52,32,455,111.4918033,75.5,236,3980,1549.002732,898,300,8489,1970.415301,1263,9865,62010,18080.07104,15701.5,39,196,113.0655738,103.5,0,0,0,0,104,4792,2268.909836,2271,0,0,0,0,144,4974,2381.97541,2343,850,4400,2331.557377,2000,0,13087,887.1174863,0,0,0,0,0,-11337,4400,1444.439891,1900,2850,8213,5570.202186,5723,-2006,22349,4219.833333,4239,3347,49925,10134.99454,7309,1344,70873,14253.65574,11853,0,0.42,0.163469945,0.145,-30,86,29.13387978,24,9398,61411,16922.46175,14514.5,-33,86,23.96174863,18,NA,NA,NA,NA,67,11,36,11,0,11,0,0,0,0
1965,20796,8117.612903,6601,5989,34746,17243.36667,13690.5,10209,481781,108446.7742,19389,14771,270056,135616.2903,111198,84175,81460,56241.42857,55045.5,35077,35298,27859.64516,29373,20032,89427,56911.56667,60177.5,26213,51932,32369.93548,30744,21653,22388,16189.76667,18313.5,8837,8882,5864.806452,5209,4279,12986,8467.483871,8907,5427,14847,12916.63333,13615,9007,8640,98800,27526.30137,17200,0,343265,8689.879452,53,0,21500,917.169863,280,23,2880,792.5178082,428,65,2607,566.6328767,130,955,22700,5242.027397,3420,1094,34055,7518.347945,5293,9948,470122,43734.52877,23442,46,192,99.63835616,101,0,0,0,0,0,4436,2032.673973,1952,0,0,0,0,47,4598,2132.312329,2067,850,4400,2335.342466,2000,0,15073,1285.506849,0,0,0,0,0,-13023,4400,1049.835616,1800,3648,13969,6773.106849,6221,-609,52584,11476.86575,8816,3502,431201,29149.10959,9212,4279,481781,40552.38082,20219,0,0.34,0.104712329,0.08,-77,68,19.03561644,14,8757,462778,40077.54247,20918,-73,65,9.783561644,3,NA,NA,NA,NA,165,125,59,59,11,31,28,9,26,20
1966,16082,15091.09677,14916,13869,44827,27350.33333,30581.5,15506,47660,30136.41935,29128,24667,63024,43464.12903,41022,29859,56705,36437.21429,30540,22986,29209,24328.45161,24394,17949,30148,18946.1,20101.5,8412,18495,9834.741935,8866,3777,3693,2460.2,2506,937,4988,3154.612903,2982,1697,6946,4845.548387,4604,3489,7724,6904.6,6874.5,6140,8120,53600,18485.23288,14600,0,9533,509.2054795,37,0,2130,222.2712329,87,17,2080,485.6356164,205,49,536,169.7178082,81,323,9690,2343.079452,1170,394,10949,3220.70411,2155,8632,64384,22215.14247,18931,40,218,116.5863014,102,0,0,0,0,0,4927,2208.928767,2347,0,0,0,0,46,5117,2325.515068,2508,850,4400,2335.342466,2000,0,15569,929.5068493,0,0,0,0,0,-13869,4400,1405.835616,1950,3316,10850,5674.920548,5488,-1892,23439,5656.419178,5314,2604,49364,12925.90137,7739,937,63024,18483.79178,15534,0,0.45,0.154191781,0.1,-44,89,28.70684932,18,8195,60712,20557.32877,16720,-48,89,22.6109589,11,NA,NA,NA,NA,132,57,59,45,11,30,15,0,1,0
1967,7582,6609.709677,6632,5885,46030,21504.8,19053.5,8391,129200,60455.54839,46395,27569,239233,62521.90323,24837,18603,246831,84142.17857,59782,33104,126352,56325.16129,52077,22195,95562,77684.86667,77077,54123,86956,74550.3871,72925,63497,78887,61264.83333,60154,48341,47333,23864.09677,18196,9337,12403,9826.83871,9390,8415,18896,16555.93333,16852,13203,8610,90700,33377.83562,28200,1,132590,4930.70137,372,0,14300,890.0082192,325,16,2870,627.6493151,187,67,3450,862.0684932,218,780,25900,7680.816438,4240,894,33370,10060.54247,5707,9882,237831,48369.07945,35755,49,153,98.97808219,93,0,0,0,0,68,4552,1737.726027,1426,0,0,0,0,149,4684,1836.70411,1507,850,4400,2335.342466,2000,0,25928,1789.424658,0,0,0,0,0,-24928,4400,545.9178082,1800,2903,12892,6815.339726,6774,1736,40183,14684.48493,10127,3523,212509,31340.32877,23008,5885,246831,45986.45753,34237,0,0.26,0.07090411,0.03,-43,51,12.5890411,8,8742,233995,43218.83836,32229,-39,43,1.775342466,-3,NA,NA,NA,NA,174,149,51,39,27,11,28,22,30,31
1968,18619,16718.70968,16736,13836,19205,16201.73333,16154.5,12182,26816,20498.29032,21183,16280,58459,24256.83871,19893,14954,90062,52060.86207,44579,25070,82365,40314.19355,38827,18515,22190,9931.633333,7473,3910,9618,6737.16129,6753,2544,5913,3665.733333,3478,2137,4508,3683.516129,3559,3140,8364,5264.032258,5034,3288,9438,6004.333333,5713.5,1940,9780,66600,18441.47541,14500,0,19055,880.273224,30,0,4310,211.0464481,53,29,1660,233.6256831,77.5,49,1251,260.2595628,114,453,4120,1967.931694,2120,556,8031,2672.863388,3005.5,10640,92407,21994.61202,17609.5,25,245,132.7076503,107,0,2425,656.1721311,293.5,0,4930,2750.836066,3240,0,0,0,0,138,7321,3539.715847,4145,850,4400,2331.557377,2000,0,14266,886.284153,0,0,0,0,0,-13366,4400,1445.273224,1900,3036,9686,6180.494536,5986,-2858,17893,4374.23224,3386,3974,75733,12736.52732,7703.5,1940,90062,17009.62568,14657.5,0,0.57,0.211748634,0.16,-26,84,34.06010929,24,9990,89799,20460.2541,15447,-26,83,28.10928962,14.5,NA,NA,NA,NA,92,50,44,28,0,7,21,22,0,0
1969,9080,5452.677419,5572,2508,16026,11120.36667,10492,7029,49678,25682,22801,9900,286437,123139.6452,98274,21528,216204,159046.2857,159022.5,112922,171534,93506,77318,63140,86671,69374.73333,66561,60310,81817,64563.77419,68708,46484,67122,46595.9,48611,22274,20509,13142.64516,12932,8934,18076,12457.74194,11585,9156,22711,20187.93333,20346,18102,10300,95200,32059.72603,21800,0,134770,8464.175342,89,0,18300,1037.671233,193,38,4640,1101.980822,577,50,5480,1123.712329,114,1010,47600,13915.36986,5910,1116,61940,17178.73425,8917,11543,283710,57702.63562,31288,45,209,107.8821918,109,0,3124,1425.490411,1112,145,4940,2547.246575,2610,0,0,0,0,190,7675,4080.619178,3895,850,4400,2335.342466,2000,0,14452,1721.383562,0,-280,22688,0,-80,-12755,11580,613.9589041,1620,3236,13490,7078.216438,6543,-2141,73991,19777.29315,10116,4667,216843,33273.76986,13819,2508,286437,53008.06301,27925,0,0.6,0.145041096,0.09,-36,78,19.58630137,12,10423,257923,48292.97808,26577,-47,76,2.528767123,-5,NA,NA,NA,NA,168,153,59,50,11,22,28,31,30,31
1970,27650,19483.77419,20642,14588,25982,19964.16667,19116,17063,119268,46189.90323,26348,15933,395113,193121.4194,192340,43776,219460,111326.25,104258,62924,83768,55985.77419,63503,21984,20065,11027,10632,6780,13869,10761.06452,11414,5949,9813,6214.466667,5957,3894,7075,5256.483871,5317,3616,12622,7947.419355,7840,5059,17179,14586.56667,14360,11967,10100,93800,27888.21918,16800,3,255600,11689.68219,43,0,14100,684.7205479,92,0,4690,692.5643836,296,0,3821,571.7068493,114,99,24000,4119.841096,3200,327,40001,6068.832877,3761,12580,383921,45646.73425,20589,4,236,130.2575342,114,0,3421,574.3178082,485,0,4600,2283.484932,2090,0,0,0,0,402,7659,2988.060274,2775,850,4400,2335.342466,2000,0,16622,1243.849315,0,0,0,0,0,-15522,4400,1091.493151,1900,3063,13304,7171.758904,6719,-1360,60580,9543.090411,5332,4204,339099,32100.51781,9265,3616,395113,41567.18356,16309,0,0.44,0.152219178,0.12,-23,73,25.87123288,24,10419,372122,42709.78356,18206,-25,70,18.28767123,13,NA,NA,NA,NA,119,97,59,59,14,31,28,24,0,0
1971,18208,13423.41935,12710,11111,74457,26116.56667,22941,13194,122532,85368.93548,79598,60544,107565,64189.77419,59558,38347,56664,34195.60714,32155,19429,73118,32048.96774,26801,13782,64337,36972.3,37473.5,19637,31905,26405.83871,27042,19475,31058,21217.86667,19755,15401,17361,11654.06452,11232,8097,17794,12987.87097,13593,6378,22085,19659.6,20069,16746,14200,73200,31589.86301,25800,1,32983,1827.805479,92,0,7040,479.0630137,313,27,1440,463.4547945,400,49,1675,305.2410959,118,734,6630,2451.671233,1860,831,12425,3699.430137,2745,16222,118608,37117.09863,28323,54,198,104.260274,86,0,4480,1266.016438,1135,0,4750,2648.780822,3030,0,0,0,0,604,8819,4019.057534,4057,850,4400,2335.342466,2000,0,21710,1305.550685,0,0,0,0,0,-19710,4400,1029.791781,1704,3435,12169,7688.079452,7950,-3154,30368,6699.060274,5356,7474,97167,25441.23836,16220,6378,122532,32068.25205,22062,0.01,0.45,0.139863014,0.12,-48,67,19.40821918,18,14692,117071,35188.43836,26638,-42,66,14.58630137,13,NA,NA,NA,NA,166,119,58,50,31,31,19,12,22,4
1972,16564,13957.41935,14480,9906,16772,13742.6,13755.5,11000,46323,23967.19355,19282,16630,28597,21338.77419,20204,16913,30703,21968.06897,23193,13631,27369,18127.29032,19481,7318,15957,7542.033333,6604,2639,9300,5140.129032,4986,2704,11098,2891.2,3933,-37433,9930,6210.612903,5680,4228,7867,6487,6519,4919,18049,10476.06667,9989,7140,9800,32200,17246.99454,16000,0,432,40.5,12,0,2960,223.2650273,74.5,11,1340,163.2513661,57,0,406,114.1994536,65,403,3860,1534.814208,1405,479,6633,2035.530055,1930,11233,36664,19323.02459,17504,53,255,143.2677596,149,0,5492,1502.923497,1495,0,4490,3231.131148,3665,0,0,0,0,78,9783,4877.322404,5015,850,4400,2331.557377,2000,0,14452,601.226776,0,-1035,41410,68.62295082,0,-12452,45510,1798.953552,1750,4021,11202,6854.625683,6690,-43478,23095,2819.491803,1965.5,4284,28733,9948.357923,8598,-37433,46323,12646.7541,11221.5,0,0.67,0.274125683,0.26,-29,364,40.05737705,36,10448,36084,17938.69399,16333,-28,375,34.94262295,32,NA,NA,NA,NA,61,9,34,1,8,0,1,0,0,0
1973,16421,11935.22581,11499,8441,50126,25943.5,24321.5,11089,50647,27133.16129,22190,15760,232773,101685.5806,92790,28900,150817,102165.0714,96507,69925,125297,76907,66320,38885,36576,22191.33333,22338.5,11769,17364,11698.77419,11577,5387,15266,7211.6,5789,3992,6178,4598.967742,4400,2263,8573,5963.096774,5712,4775,15416,11153.46667,10913,7628,12600,92700,28516.43836,18300,6,112559,5300.063014,75,0,11400,704.6410959,113,46,1990,465.4712329,313,49,4086,770.6027397,101,950,12900,3277.805479,2420,1234,21016,5218.520548,2952,15232,222801,39035.02192,20916,48,253,128.2547945,96,0,5476,2107.128767,2351,0,4740,2562.915068,3290,0,0,0,0,72,10366,4798.29863,4788,850,4400,2335.342466,2000,0,18857,1709.315068,0,-798,0,-69.28219178,0,-17455,4400,556.7452055,1650,2691,13158,7106.309589,6865,-6343,35738,7188.868493,3951,6188,196048,26534.90685,10787,2263,232773,33679.9863,14772,0,0.6,0.225972603,0.24,-55,87,30.08493151,28,13762,220775,36579.69315,19125,-48,86,24.09315068,20,NA,NA,NA,NA,130,99,59,54,10,26,28,31,4,0
1974,20677,14070.83871,13367,8522,121091,59945.2,68406.5,11620,117712,76406.3871,71277,50501,274491,138699.129,113424,77133,105067,59178.32143,46890,39956,123249,77575.41935,72236,44198,260428,109547.4667,83023,34830,35840,25544.45161,26648,16905,25999,16943.33333,16977,5309,18167,9365.677419,8769,4834,18916,12783.70968,12321,8579,24130,20981.03333,21275.5,15340,15200,94200,42344.10959,29700,3,165350,10465.37808,113,0,7120,810.230137,473,164,3270,851.0356164,576,49,1642,489.7671233,134,1260,9700,3825.972603,3460,1690,16542,5977.005479,5352,18455,276092,58786.49315,37258,36,223,109.7013699,91,0,7488,2652.723288,2114,852,4640,3375.594521,3660,0,0,0,0,911,12105,6138.019178,5687,850,4400,2335.342466,2000,0,9490,1378.136986,0,0,0,0,0,-7840,4400,957.2054795,1700,3701,13357,8949.282192,9274,-7767,29408,8166.076712,7174,8162,246545,43592.1589,19078,4834,274491,51691.28219,26915,0,0.54,0.184520548,0.15,-11,76,23.21917808,17,15518,270892,55557.76712,32186,-25,74,17.19178082,8,NA,NA,NA,NA,178,155,59,59,31,31,28,31,30,4
1975,27000,18529.3871,17971,15333,30835,23991.26667,23950.5,17182,51882,28017.70968,25331,17265,28475,17489.22581,16759,12276,100709,57330.35714,53080,17868,127625,66834.12903,64771,24953,67833,34519.26667,30143,21329,36449,28795.80645,27310,23906,32258,22508.16667,24811,10915,13780,11129.09677,11674,8179,15034,9523.354839,9208,5840,16038,13419.26667,13030.5,10911,15600,73800,27447.12329,21900,2,36228,1299.846575,28,0,6340,497.8739726,93,33,1600,501.4438356,474,49,3171,548.1506849,134,1340,8820,3887.890411,3670,1851,17336,5435.358904,4585,17893,127364,34182.32877,26346,53,234,109.3232877,94,0,6414,2140.441096,1961,0,4792,3244.043836,3967,0,0,0,0,63,10672,5493.808219,5248,850,4400,2335.342466,2000,0,13336,1121.520548,0,0,0,0,0,-12486,4400,1213.821918,1890,3981,12315,8297.208219,8067,-3733,26587,7449.789041,7215,7728,100707,20109.88767,12812,5840,127625,27474.70959,22130,0,0.52,0.188027397,0.17,-20,71,25.27671233,24,16050,123568,30909.2274,22913,-29,69,16.45753425,11,NA,NA,NA,NA,150,86,34,27,10,0,27,24,15,10
