WY,octmaxout,octmeanout,octmedout,octminout,novmaxout,novmeanout,novmedout,novminout,decmaxout,decmeanout,decmedout,decminout,janmaxout,janmeanout,janmedout,janminout,febmaxout,febmeanout,febmedout,febminout,marmaxout,marmeanout,marmedout,marminout,aprmaxout,aprmeanout,aprmedout,aprminout,maymaxout,maymeanout,maymedout,mayminout,junmaxout,junmeanout,junmedout,junminout,julmaxout,julmeanout,julmedout,julminout,augmaxout,augmeanout,augmedout,augminout,sepmaxout,sepmeanout,sepmedout,sepminout,SAC_min,SAC_max,SAC_mean,SAC_median,YOLO_min,YOLO_max,YOLO_mean,YOLO_median,CSMR_min,CSMR_max,CSMR_mean,CSMR_median,MOKE_min,MOKE_max,MOKE_mean,MOKE_median,MISC_min,MISC_max,MISC_mean,MISC_median,SJR_min,SJR_max,SJR_mean,SJR_median,EAST_min,EAST_max,EAST_mean,EAST_median,TOT_min,TOT_max,TOT_mean,TOT_median,CCC_min,CCC_max,CCC_mean,CCC_median,SWP_min,SWP_max,SWP_mean,SWP_median,CVP_min,CVP_max,CVP_mean,CVP_median,NBAQ_min,NBAQ_max,NBAQ_mean,NBAQ_median,EXPORT_min,EXPORT_max,EXPORT_mean,EXPORT_median,GCD_min,GCD_max,GCD_mean,GCD_median,PREC_min,PREC_max,PREC_mean,PREC_median,MISDV_min,MISDV_max,MISDV_mean,MISDV_median,CD_min,CD_max,CD_mean,CD_median,XGEO_min,XGEO_max,XGEO_mean,XGEO_median,WEST_min,WEST_max,WEST_mean,WEST_median,RIO_min,RIO_max,RIO_mean,RIO_median,OUT_min,OUT_max,OUT_mean,OUT_median,EXPIN_min,EXPIN_max,EXPIN_mean,EXPIN_median,DIVE_min,DIVE_max,DIVE_mean,DIVE_median,EFFECT_min,EFFECT_max,EFFECT_mean,EFFECT_median,EFFD_min,EFFD_max,EFFD_mean,EFFD_median,X2_min,X2_max,X2_mean,X2_median,spawn_days_over_20k,spawn_days_over_30k,peak_spawn_days_over_20k,peak_spawn_days_over_30k,Dec_days_over_30k,Jan_days_over_30k,Feb_days_over_30k,Mar_days_over_30k,Apr_days_over_30k,May_days_over_30k
1998,7321,4842,4714,2711,24665,10013.53333,8242.5,2974,28250,14613.67742,13771,3873,129177,68871.48387,88036,3747,311298,224704.0357,225124.5,109147,148497,104584.3871,104046,67732,121676,88661.23333,92651,65281,88533,67140.32258,67559,55405,105153,71643.16667,71755,48984,47830,31360.19355,28935,19886,21611,20010.25806,20139,17381,23656,20116.73333,19802,17081,9980,94100,40077.75342,28700,25,178521,11624.63562,566,21,14700,1076.835616,388,101,3470,1340.671233,1520,13,7883,469.6493151,211,1810,35000,11728,9550,2351,46372,14615.15616,12468,12827,308013,66317.54521,47000,59,446,221.6109589,200,0,7465,2948.049315,3174,609,4937,3417.684932,4012,14,131,54.41369863,47,900,11664,6641.758904,7516,850,4350,2302.213699,1987,0,16275,1965.723288,0,0,0,0,0,-15375,4350,336.4876712,1700,2505,13344,7337.378082,7319,-7397,57883,15092.00548,12523,4679,254621,44270.82192,24967,2711,311298,59339.30137,36189,0,0.69,0.222082192,0.18,-7,82,25.32876712,21,10507,307831,62611.02466,38711,-9,78,18.17260274,6,44.21,87.22,63.19736986,61.77,152,140,52,48,0,20,28,31,30,31
1999,18817,12297.3871,12430,6899,42887,20569.76667,15561,6886,66751,47241.29032,49892,23345,74523,38021.70968,22540,13189,143179,98804.35714,103296,36702,103650,69107.12903,65594,39766,43753,35493.8,34198,30060,30377,22229.29032,21702,16956,19358,13768.4,12816.5,8449,12851,10579,10933,8813,12903,6020.354839,5228,2174,6173,4831.6,4763.5,3566,12700,86700,30070.9589,21400,20,33150,2250.517808,549,26,13000,642.1369863,167,94,2900,738.309589,547,33,6568,551.5178082,292,1790,16000,4928.383562,3740,2232,26811,6860.347945,5213,17251,141418,39181.82466,26489,0,433,184.1671233,176,0,7189,3369.386301,2715,0,4490,3125.257534,4165,0,150,51.9260274,41,136,12115,6730.772603,6701,850,4320,2295.219178,1979,0,11232,1013.449315,0,0,0,0,0,-10382,4320,1281.764384,1881,2518,12360,6275.09589,6514,-5530,37894,5571.49863,4866,7745,106500,25687.55068,14808,2174,143179,31169.34247,18329,0,0.64,0.244054795,0.15,-12,88,31.92054795,23,13452,138753,35683.50411,23605,-14,86,23.67945205,10,50.94,85.19,67.60567123,67.27,159,127,49,41,24,13,28,31,30,1
2000,6645,4280.096774,4277,1521,9992,6804.166667,6591,3996,17236,10467.29032,9940,3627,67481,21545.58065,10231,3507,163895,94092.27586,110045,29832,159701,87838.35484,86551,23930,45349,27294.3,27032,15514,34881,22146.12903,20371,10367,11365,8942.4,9110,5905,15056,9220.645161,8594,6536,12366,6098.193548,5732,3567,8292,4662.633333,4213,1657,10300,87700,25290.43716,17550,0,63375,4079.344262,390,20,9680,513.3224044,79.5,52,2330,496.226776,281.5,23,6057,475.3005464,236,1530,16700,3920.300546,2480,1889,25134,5405.150273,2923,13413,168766,34774.93169,21305.5,0,401,174.0546448,154.5,-77,9487,5085.770492,5592.5,0,4473,3425.423497,4124,3,162,64.83879781,66.5,1584,13716,8750.087432,9681,850,4340,2288.994536,1963,0,17192,1316.803279,0,0,0,0,0,-16199,4340,972.1885246,1883,2758,12493,6345.071038,6353.5,-7072,30098,2368.136612,-803,4898,136174,22752.56011,11574.5,1521,163895,25052.63934,9511,0.05,0.75,0.365245902,0.38,-21,90,45.12568306,53,10763,160758,31739.2377,18702.5,-19,88,39.07377049,46,49.65,87.46,73.5704918,77.23,109,80,43,36,0,8,28,28,11,5
2001,17127,5736.580645,4092,1940,12631,4742.9,4070,2536,8996,5996.612903,6144,2836,32048,15211.45161,14143,3300,44585,19567.92857,14243.5,4973,56518,23427.3871,18339,8473,20692,12219.06667,11788.5,6360,11458,9706.83871,9760,7760,8982,7509.2,7614,5343,7034,4722.774194,4688,3497,4658,3226.83871,3111,1969,5640,4165.266667,4043.5,3210,6790,46200,14527.23288,13000,0,5168,506,321,4,984,160.7917808,64,29,624,176.4082192,177,32,1675,176.7068493,183,1150,5980,2392.684932,2230,1423,8160,2906.591781,2700,12187,57684,17939.82466,15684,0,439,143.7945205,85,0,8470,3639.687671,3994,734,4341,3221.142466,4017,0,146,62.80547945,67,1115,12085,7067.430137,7972,850,4389,2294.961644,1975,0,11232,1055.079452,0,0,0,0,0,-9753,4389,1239.893151,1862,1732,9444,4539.473973,5196,-5606,14915,-427.3534247,-1587,4235,44306,10146.63562,7742,1940,56518,9632.542466,6906,0.05,0.7,0.404383562,0.46,-38,87,51.48219178,56,9484,54356,15780.18082,13641,-26,85,44.54246575,49,65.14,89.49,80.34312329,82.14,38,17,19,9,0,2,7,8,0,0
2002,7091,4275.580645,3598,2039,18397,8213,5740,2533,49520,24737.25806,23760,9543,105892,38731.41935,28401,9244,24965,12029.67857,9998.5,7650,27474,16982.12903,15003,9985,16833,11943.23333,11695.5,9053,24211,13554.22581,11609,10413,9606,7461.766667,7452,4867,6860,5731.83871,5584,4403,5228,3848.580645,3992,1789,5553,4168.933333,4076,2654,6970,65600,18101.39726,16200,0,34555,978.3534247,369,4,2550,277.369863,152,29,487,149.0054795,181,15,4979,212.2684932,166,991,5960,1927.893151,1870,1235,12299,2566.534247,2348,8952,108391,21646.28493,19043,0,460,167.0821918,98,0,8295,4006.145205,3999,827,4481,3459.873973,4085,0,147,65.2739726,71,1567,12419,7698.375342,8253,850,4382,2298.835616,1967,0,14900,1047.224658,0,0,0,0,0,-13100,4382,1251.605479,1800,2108,11340,5181.156164,4760,-6629,17104,-764.2849315,-1492,3220,91511,13548.16164,9660,1789,105892,12696.24932,9501,0.05,0.67,0.377068493,0.4,-24,89,47.87671233,49,7306,104171,19848.15616,17410,-18,88,42.0630137,45,61.32,88.84,77.74958904,75.2,53,25,21,15,10,15,0,0,0,0
2003,5105,4203.258065,4201,3329,26539,7333.1,3934,1903,66313,28885.80645,30389,3361,82979,51440.93548,48049,30302,41236,29622.85714,30314,15279,41082,15779.6129,13095,6503,51049,22053.86667,20429.5,7865,67682,41937.74194,35255,18804,18740,11802,11598.5,5785,14247,9703.16129,9709,7170,13124,6928.225806,6138,3195,5198,3486.6,3648.5,1223,9010,65300,25283.42466,20700,0,25560,1549.778082,506,6,2920,296.7315068,151,69,1570,300.6136986,210,26,1070,140.8219178,125,1130,3490,1885.315068,1870,1495,5731,2623.482192,2413,10884,93766,29456.68493,24437,13,337,190.8027397,227,0,7572,4776.723288,5938,733,4519,3708.109589,4286,0,115,58.65753425,62,1065,11951,8734.293151,10458,850,4383,2304.676712,1990,0,16505,1020.526027,0,0,0,0,0,-14305,4383,1284.145205,1793,2606,11045,6349.843836,6320,-6678,14623,-595.7013699,-1685,4210,80200,20123.79178,13932,1223,82979,19438.2137,11578,0.01,0.75,0.36660274,0.4,-49,92,44.95068493,52,9294,91486,27728.96438,22788,-37,91,41.16164384,48,59.94,89.47,74.01046575,73.13,122,91,54,45,16,31,14,3,7,20
2004,8952,4304.677419,4145,2758,15279,6625.466667,4909.5,3480,51521,23855.64516,22728,6783,69523,32138.19355,28687,12126,179947,68091.27586,32410,12236,155420,56299.54839,36653,16144,31799,22006.5,21690.5,12342,15250,12425.51613,12339,9995,9673,5726.633333,8030.5,-28982,8665,7378.16129,7255,6347,7316,5252.516129,5187,3503,7702,4700.966667,4955,2137,9420,74700,23594.39891,17950,0,105288,4308.306011,485,3,3810,219.4262295,60.5,27,947,222.7650273,274,19,1171,170.4371585,174,920,4500,1891.418033,1640,1175,8369,2504.046448,2122.5,12133,186184,30406.75137,19844,0,437,165.4071038,132,19,8008,4478.038251,5001.5,0,4589,3749.860656,4351,0,125,71.23770492,78,1236,12491,8464.543716,9546,850,4400,2300.254098,1965,0,11691,1038.122951,0,-733,37812,85.22131148,0,-10041,40857,1347.349727,1774.5,2518,13125,6248.437158,5950,-35867,13513,-617.7021858,-1333.5,3840,167847,21300.86612,10328,-28982,179947,20594.85246,10540.5,0.04,0.69,0.356147541,0.35,-4,286,45.78142077,45,9773,181964,28601.47268,18686,-15,305,41.2568306,41,54.07,89.29,74.99688525,80.045,105,63,40,31,6,15,16,18,8,0
2005,18234,8517.387097,5622,4208,11857,6708.166667,5657,3879,58511,12451.19355,5627,3012,63899,33624,33233,12870,37773,24932.92857,25912.5,13397,71870,38557.96774,33398,17980,50109,29903.03333,26601,20346,91682,50999.16129,50135,22026,48887,27968.06667,28845.5,11432,11316,9441.064516,9604,7247,6990,5632.193548,5637,3899,8156,7051,6983.5,5087,10100,74100,23131.78082,19400,0,8296,981.9369863,471,6,9800,675.3643836,268,106,2180,794.0273973,836,13,3463,150.2438356,73,1070,15300,5231.150685,3600,1289,19909,6850.786301,4677,11809,96839,30964.50411,26249,0,369,163.830137,142,0,8690,5006.758904,5395,899,4511,3699.936986,4328,0,156,65.88219178,69,1847,12991,8936.408219,9200,850,4400,2308.227397,1975,0,13525,1504.109589,0,-500,0,-99.17808219,0,-11725,4400,704.9561644,1400,3002,13257,5863.419178,5694,-7553,25024,3354.238356,537,4639,66837,18025.13699,12680,3012,91682,21323.12877,14215,0.02,0.68,0.356383562,0.4,-10,80,39.90684932,37,10399,93161,27050.70959,22322,-24,78,30.98630137,28,58.09,86.68,72.17989041,70.62,138,83,42,28,2,19,9,16,13,24
2006,7263,4467.193548,4367,1988,7570,5008.666667,4729.5,2789,235781,42829,19115,3802,368424,145921.0645,111452,51333,85475,52129.10714,52500.5,25024,175262,115393.3226,112869,72560,256965,179437.6333,187035.5,121449,122053,81325.80645,80791,46989,46139,35325.2,38463,24752,19211,10261.29032,9583,7481,10054,8175.870968,8092,6539,9954,7920.166667,7910.5,5170,11100,91800,38112.05479,26100,40,256744,15472.88767,583,26,22900,1198.676712,347,94,4920,1499.309589,952,25,9382,531.2191781,286,1850,34600,10153.42466,6460,2218,46419,13382.63014,8693,14667,364182,66967.5726,39839,0,384,160.6410959,189,495,9496,4872.09589,5386,0,4506,3629.956164,4299,0,166,59.74520548,56,1554,13749,8722.438356,9724,799,4400,2311.290411,1999,0,15358,1463.265753,0,0,0,0,0,-13708,4400,848.0246575,1825,2492,14943,8172.430137,7540,-6577,63099,12281.40274,5465,5606,334575,45175.07397,21794,1988,368424,57397.10959,26741,0.01,0.73,0.295205479,0.25,-5,87,35.90958904,24,11597,360574,62525.34521,31560,-7,84,29.07671233,11,44.15,87.33,65.66871233,63.07,166,158,59,55,11,31,24,31,30,31
2007,6576,3987.548387,3686,1873,9437,5230.6,4729.5,3387,17815,9019.354839,7977,2462,11824,8242.709677,8118,4348,46754,21234.42857,17740,7774,34277,14003.96774,11047,8200,16873,11306.23333,10371,7684,12736,9379.806452,9379,7111,10450,7846.5,7679,5473,7525,5360.806452,5409,3148,4917,3737.129032,3885,2394,6035,4517.166667,4915,857,7850,39400,15153.28767,14200,20,2155,341.939726,305,7,2830,187.1342466,87,33,859,194.1972603,195,0,508,147.569863,129,891,4180,2204.676712,2320,1082,5988,2733.578082,2934,11403,45346,18228.80548,17265,1,443,154.9041096,131,0,7497,4080.805479,4495,465,4508,3700.980822,4308,0,147,83.64657534,84,1295,12106,8020.336986,8967,844,4400,2300.090411,1977,0,8940,659.4,0,0,0,0,0,-8090,4400,1640.671233,1748,2376,8840,5144.131507,5235,-6977,10230,-1209.046575,-1513,3447,36073,9891.69863,8888,857,46754,8567.808219,7177,0.05,0.75,0.429452055,0.47,-3,93,54.70684932,55,8963,42656,16101.54795,15379,-15,93,47.98630137,49,69.02,88.47,80.22383562,79.63,19,9,13,7,0,0,7,2,0,0
2008,6729,3683,3452,2751,10067,4290.9,3540,2430,15056,7185.580645,6936,1812,50477,24560.06452,21829,7677,41724,24128.17241,20149,11174,29179,12220.19355,10525,7506,12626,9540,9923.5,5401,9974,8214.83871,8128,6867,8434,7332.4,7414.5,5574,5301,3674.387097,3719,2558,3983,3074.032258,3147,2282,6084,4071.666667,3943.5,2232,6780,41000,13219.15301,11100,20,6710,574.9043716,461,2,1310,155.136612,51.5,19,718,131.8278689,167,23,280,119.352459,114,741,4510,1699.920765,1530,932,5427,2106.237705,1836.5,9521,50593,15900.29508,13211.5,0,454,185.4754098,136,193,6342,2104.101093,1990.5,428,4482,2780.284153,2999,0,156,75.88251366,85,1000,10322,5145.743169,5556.5,820,4351,2297.775956,1951.5,0,17192,826.7295082,0,0,0,0,0,-15746,4351,1471.081967,1866.5,1731,7397,4513.688525,5020,-4283,14618,517.9371585,73,3051,38422,8868.461749,6005,1812,50477,9283.445355,7172.5,0.04,0.68,0.332704918,0.34,-53,86,48.2295082,47,8584,46111,14324.22404,11924.5,-42,84,41.82513661,42,66.7,89.97,81.07898907,81.255,35,20,32,20,0,9,11,0,0,0
2009,6521,3186.096774,3146,1130,17417,5817.733333,3823,2260,14494,7113.419355,6873,3274,14001,6306.096774,4354,2803,45779,22752.64286,15566,7558,53794,19926.87097,10607,7038,14560,12039.76667,12877,6676,31636,15884.96774,12561,9971,11247,8064.633333,7968.5,4468,7793,5214.258065,5208,3190,6825,4238.129032,4008,2995,6943,3887.033333,3643.5,2039,6600,48000,13777.56164,12500,27,2770,437.4794521,359,3,5710,268.5616438,51,26,430,133.3068493,160,16,238,103.1780822,71,513,2650,1195.358904,1140,724,7447,1700.405479,1413,8056,55020,15915.44658,14755,0,427,148.3616438,126,134,7178,2259.191781,1992,0,4392,2602.328767,2729,0,116,63.66849315,74,801,11928,5073.550685,4556,850,4350,2305.50137,1950,0,13525,913.7479452,0,0,0,0,0,-12675,4350,1391.742466,1819,1733,8420,4371.819178,4020,-5750,11453,94.08767123,-82,2184,44354,9453.558904,7605,1130,53794,9450.175342,6443,0.03,0.62,0.334410959,0.36,-36,86,45.4,52,6766,53016,14770.2274,13566,-44,83,40.43561644,47,65.69,91.13,80.79378082,82.3,30,20,12,11,0,0,11,7,0,2
2010,21855,6365.032258,4287,2093,7599,4654.4,4379,3300,13445,6370.774194,5963,2737,68205,26955,13406,5252,43961,29982.14286,31025,15698,32837,17121.48387,16085,7597,35457,24604.46667,24990,13784,29855,20681.74194,20307,16520,25364,16524.96667,19526.5,7957,8163,6700.83871,6735,4803,7506,4003.935484,3846,2413,8804,5885.266667,5548.5,3151,7880,58400,17648.16438,15800,45,7262,800.0109589,403,4,3150,363.8328767,112,43,1740,428.3150685,274,18,227,81.53150685,51,1010,6300,2520.054795,2020,1375,8440,3393.734247,2685,9749,69238,21841.90959,19847,0,322,129.4684932,120,0,7179,3447.194521,3494,626,4352,2957.008219,3489,0,123,59.73972603,67,1502,11744,6593.410959,6719,836,4351,2300.460274,1952,0,12837,1089.619178,0,0,0,0,0,-10994,4351,1210.857534,1700,1977,10136,5142.767123,4710,-5309,13861,1156.043836,186,3056,55450,12966.35068,9816,2093,68205,14037.63288,8008,0.04,0.66,0.343150685,0.38,-52,86,42.91506849,49,8238,67222,19792.93425,17815,-45,85,36.78630137,42,64.66,87.98,76.88323288,78.82,83,41,36,28,0,12,16,6,7,0
2011,15248,5473.258065,4261,2295,16341,7020.866667,6052.5,2643,89710,48138.06452,43985,8055,79581,39475.77419,30485,19572,53689,28251,20416.5,14927,218625,104134.7419,71671,37381,136055,85043.33333,73359.5,55484,54175,47059.12903,46445,42037,56125,42036.86667,41052,31860,42352,17654.51613,14529,5880,13364,8863.322581,7944,6195,13513,12205.8,12114.5,10835,9500,86000,31547.28767,27000,38,93354,3615.367123,507,9,10400,1056.208219,653,156,4200,1474.586301,1080,16,6926,317.339726,154,1590,30800,9433.041096,8920,2232,38025,12281.17534,11981,12611,213620,47443.83014,37410,1,379,92.49589041,81,0,8659,5528.975342,5997,0,4287,3549.375342,4144,0,178,53.95342466,62,410,12879,9224.8,9864,807,4350,2305.29863,1978,0,9628,1278.013699,0,0,0,0,0,-8778,4350,1027.284932,1784,2869,13448,6636.046575,6227,-4097,51052,9024.715068,4523,4341,167156,28238.98082,22125,2295,218625,37191.7726,25862,0,0.7,0.300547945,0.27,-3,84,34.85205479,29,10389,215166,41637.53973,29168,-11,81,23.58630137,12,49.59,86.58,67.32717808,64.65,163,136,46,27,17,16,11,31,30,31
2012,22839,12077.29032,11389,5445,14289,8269.4,6429,3925,6823,5372.709677,5476,3317,32170,11417.3871,6469,4921,13207,10796.86207,10601,8804,51239,20114.41935,17480,6660,44404,27781.93333,26758.5,17200,26534,12492.80645,9290,5463,10964,8305.766667,8502,5624,10645,7534.709677,7260,5245,9677,4641.419355,3367,1585,6999,4886.8,4699.5,2400,8680,46100,16634.04372,15200,26,1310,319.057377,189,9,4940,239.3169399,60,32,1580,255.3934426,180.5,25,499,128.6174863,107,665,5790,2035.795082,1730,927,7024,2659.122951,2177,10659,51096,19612.22404,17963,0,455,239.420765,238.5,495,7178,3657.13388,3495,0,4522,2895.464481,3199,0,136,55.93442623,59,1529,12175,6847.92623,6269,850,4340,2301.221311,1987.5,0,8252,666.9945355,0,0,0,0,0,-7252,4340,1634.240437,1881,2172,9620,5146.68306,5013,-7111,13475,-104.3825137,-542,3939,39502,11348.80055,9467.5,1585,51239,11130.05191,7932,0.04,0.66,0.353415301,0.375,-11,90,47.0273224,53,9279,49046,17669.03552,16000.5,-12,89,40.59562842,45,65.74,88.51,77.4857377,78.145,47,21,5,2,0,2,0,7,12,0
2013,9661,4476.903226,3902,1902,16931,6291.7,4811,3369,89080,48250.87097,52969,13499,45358,22289.45161,18517,13673,16747,13428.82143,13633,9025,13339,9626.903226,8894,6422,21681,12865.7,12000,5968,11998,10067.87097,9858,8805,9506,7902.033333,7634,6487,7358,5443.548387,5372,4220,6203,5083.677419,5099,3404,6923,5591.766667,5816.5,3280,5990,69000,17390.82192,14700,33,15596,697.769863,418,4,3140,201.5013699,73,32,794,158.9506849,166,18,243,106.6027397,102,463,4180,1478.917808,1360,674,6382,1945.972603,1807,10115,88648,20034.56438,17121,22,406,209.9506849,227,494,7177,3071.821918,2497,0,4433,2551.29589,2763,0,214,65.78082192,78,1473,11787,5898.789041,5642,810,4400,2297.10411,1950,0,17651,813.2931507,0,0,0,0,0,-15651,4400,1483.810959,1804,1816,12611,5209.526027,5108,-5812,19980,292.1726027,0,3532,71371,12463.60548,9315,1902,89080,12651.94247,8559,0.03,0.76,0.316383562,0.32,-10,85,43.96986301,43,7850,86885,18661.76438,15472,-11,82,38.68493151,37,62.56,86.9,77.61046575,77.26,40,28,11,7,21,7,0,0,0,0
2014,7235,4273.516129,4251,2991,12738,5567.966667,4640.5,3096,7970,4951.193548,4534,3904,7050,4780.419355,4638,3976,29536,11061.03571,7775,5353,25999,12723.12903,11909,3761,21490,7912.733333,5982,3505,4982,4174.387097,4074,3094,6573,5406.033333,5336,4153,5075,4084.967742,4054,3218,4900,3418.612903,3320,2343,4732,3201.066667,3093.5,1620,4340,27900,8904.684932,8250,73,854,326.7780822,245,0,2520,92.56712329,23,27,535,128.0465753,154,10,244,91.88493151,55,225,3050,870.6739726,830,413,3756,1183.175342,1127,6634,30030,10414.63836,9670,0,307,141.6821918,136,0,3694,1298.641096,1189,0,4248,1311.99726,986,0,143,62.03013699,63,643,7183,2814.290411,2625,799,4357,2296.194521,1963,0,9169,621.7479452,0,0,0,0,0,-8343,4357,1674.457534,1900,1406,5753,3185.547945,3117,-3772,13166,465.9616438,258,2189,23819,5577.126027,4462,1620,29536,5925.852055,4514,0.05,0.52,0.244575342,0.23,-60,82,45.7260274,50,5318,29117,9632.613699,8832,-37,81,40.75616438,45,74.19,90.32,84.23556164,85.17,13,0,4,0,0,0,0,0,0,0
2015,8186,4720.612903,4407,3259,8536,5433.7,5377,2557,58997,33506.93548,32032,6159,12876,6051.354839,5339,4433,40894,16257.53571,10955.5,5599,7897,5988.741935,5948,4681,12283,6818.266667,6270.5,4007,7475,5908.903226,6262,3618,7234,4796.466667,4634,3624,5850,4763.580645,4806,3439,5715,4470.064516,4690,2582,5990,4825.733333,4943.5,3394,5030,54000,10618.24658,7750,139,5050,708.6328767,523,0,4960,93.46027397,32,17,962,123.509589,99,7,2700,776.3589041,799,84,1810,583.5342466,453,168,6213,1576.863014,1439,6319,59890,12903.74247,9816,25,305,96.88493151,81,0,6675,1575.715068,686,0,4119,962.6246575,817,0,93,43.60273973,48,426,10687,2678.830137,1750,832,4400,2305.816438,1964,0,12837,681.4082192,0,0,0,0,0,-10639,4400,1624.413699,1846,1498,8011,3355.315068,3423,-5229,9512,1197.421918,1536,1527,51104,7516.739726,4341,2557,58997,8600.416438,5339,0.03,0.52,0.194794521,0.15,-34,76,40.09041096,43,5950,58250,12332.83288,9476,-44,75,36.9260274,40,66.75,90.21,81.93893151,83.13,30,20,8,4,16,0,4,0,0,0
2016,6437,4737.580645,4516,3645,9889,4769.066667,4356.5,2310,21379,9248.612903,7437,2860,53300,27636.22581,27424,3611,42112,17844.34483,14354,10017,164899,63654.35484,63475,8331,32003,20873.9,19590.5,10895,16325,12154.12903,11966,8481,8423,7049.033333,6929.5,5892,14082,8252.032258,8027,6015,9768,6195.193548,5755,3645,8507,5189.766667,4731,3427,5420,82000,18920.62842,16150,43,77404,1273.262295,461,0,7150,423.568306,72.5,22,467,114.647541,103,11,324,99.93169399,36,195,5230,1005.934426,763.5,335,10618,1644.021858,1116,6322,169451,21837.92077,18282.5,3,384,186.6666667,154,0,7178,2724.098361,2144.5,397,4247,1877.027322,1619,0,103,45.87704918,50,641,11833,4833.57377,4371,838,4370,2308.005464,1970.5,0,11003,992.6857923,0,0,0,0,0,-9956,4370,1315.352459,1729,2022,12672,5404.759563,4291.5,-5464,17918,1360.224044,1481,1359,147474,14420.82514,10000.5,2310,164899,15688.96448,8186,0.04,0.61,0.254371585,0.225,-22,80,36.57650273,36,5681,164221,20903.22951,17347,-30,80,32.63387978,31,58.71,87.01,76.50844262,78.83,66,45,24,18,0,14,4,26,1,0
2017,18813,7614.935484,4895,2588,15819,8668.966667,8272.5,2370,95120,35362.45161,31361,3132,306201,143948.4516,151751,19011,374553,269002.4643,305844.5,94624,202136,124338.6129,123231,88471,128432,106997.4667,110457,76794,110221,65149.32258,62812,46441,43106,28121.3,24509,18206,17160,9651.225806,8550,6749,12317,10235.93548,10107,8132,14850,12936.73333,13319,10357,8840,96200,39829.17808,25000,38,242456,20266.15616,621,5,36400,1653.482192,438,96,4716,2117.723288,1359,14,4976,568.3863014,160,305,40200,12224.16438,8780,573,62560,16563.75342,12893,11339,378580,76659.08767,35824,65,290,157.1753425,166,0,10300,4989.709589,5492,972,4415,3736.810959,4029,0,131,44.80547945,40,2930,14650,8928.39726,9297,847,4400,2314.093151,1972,0,16734,1759.243836,0,0,0,0,0,-15885,4400,554.9369863,1796,2292,13624,7702.169863,7810,-8157,74640,14976.75068,5591,3859,324016,52237.8,20916,2370,374553,67175.70411,23497,0.02,0.71,0.256931507,0.24,-32,84,30.71232877,26,9209,368397,71442.15342,29382,-43,82,23.08493151,14,40.1,85.58,63.89284932,66,170,164,57,55,17,27,28,31,30,31
2018,15069,9340.580645,9359,5257,15306,9046.366667,8671.5,5018,9078,6841.129032,6773,5550,36943,16992,14974,7676,14319,11570.25,11584,9388,66726,28192.67742,23407,8703,97294,41906.1,31995.5,15498,15708,12687.19355,13885,8670,11739,7317.6,7266.5,5453,8153,6651.774194,6726,4912,7543,5759.806452,5950,3989,7362,6078.266667,6093.5,5125,8030,77500,17407.61644,15100,25,4537,371.8630137,274,16,11200,406.5205479,92,29,2360,399.8958904,315,16,2674,175.3205479,123,400,10900,2576.00274,2060,652,18578,3557.720548,2870,13181,95896,21337.16986,18233,13,288,149.0821918,157,0,6930,2975.109589,2794,872,4398,3169.860274,3519,0,129,70.09041096,79,1038,11372,6364.126027,6295,827,4360,2313.243836,1985,0,14441,860.3945205,0,0,0,0,0,-13094,4360,1452.884932,1924,1980,12000,4772.191781,3590,-6818,26151,1021.378082,-185,5039,70642,12600.43014,9795,3989,97294,13520.10137,8865,0.03,0.61,0.319123288,0.3,-28,79,42.70136986,43,10108,92643,19282.46849,16533,-25,78,35.43561644,33,60.23,83.29,75.72246575,76.91,49,32,5,4,0,4,0,11,17,0
2019,10832,5005.709677,4193,2641,18301,7894.5,4954.5,3744,20395,10077.41935,8407,3013,63088,32308.77419,30192,6273,162975,81926.89286,68466,23893,180911,120729.9355,106554,78125,106646,85681.56667,92960,52156,72728,50116.74194,48005,39239,54421,32967.03333,27780,13291,10848,7633.677419,7055,6323,17108,11687.06452,11359,7378,17681,12471.73333,12256,9301,7440,83400,31671.06849,21400,42,75000,5253.950685,154,16,9300,970.9479452,204,174,3045,1263.134247,979,18,4953,425.9780822,204,1100,17200,6300.575342,3370,1346,30222,8960.567123,4709,9188,183147,45885.54795,25918,0,269,135.4356164,149,-16,7791,3916.060274,3594,809,4382,3268.545205,3585,0,130,61.89315068,64,2138,12088,7381.873973,7609,846,4363,2312.312329,1990,0,19485,1695.673973,0,0,0,0,0,-16995,4363,616.7123288,1738,1620,13000,6964.873973,7160,-5623,36498,8142.70137,3230,3200,144810,29787.43014,13285,2641,180911,37886.95068,16609,0.02,0.64,0.272739726,0.27,-24,80,32.19178082,31,7818,177368,42259.34795,22624,-21,78,25.43287671,17,48.95,86.34,68.36367123,73.18,147,134,53,42,0,16,26,31,30,31
2020,15428,13226.64516,13384,10937,10339,6787.633333,6996,4047,25397,14507.58065,11583,7788,21279,12917.64516,12182,9264,14889,11768.06897,11523,10045,19000,10325.48387,9279,6874,22910,11383.6,9652.5,7114,14865,9053.935484,8337,6351,10063,7108.266667,6824.5,5971,5882,4526.612903,4583,3284,4642,3395.612903,3316,2722,6947,4271.6,4347,2480,7770,24500,13360.81967,12600,32,800,85.14480874,73,11,4130,227.6311475,100,34,1323,228.510929,183.5,20,246,111.0218579,120.5,333,6100,1823.592896,1745,564,7448,2390.721311,2371.5,10246,30568,15836.63388,14804.5,49,247,154.1912568,166,-88,7489,2103.338798,1496.5,4,4326,2711.34153,2770,0,128,68.18306011,75.5,875,11751,5037.07377,5132.5,829,4351,2299.92623,1970,0,12149,610.6448087,0,0,0,0,0,-10103,4351,1689.281421,1829,1920,8100,4598.912568,4280,-5270,7909,854.5464481,544,4037,20350,8373.991803,7195,2480,25397,9110.289617,8260,0.05,0.6,0.297240437,0.31,-3,83,43.95081967,41,8546,25356,14061.63388,13254.5,-18,83,36.21038251,31,73.31,88.54,78.54642077,76.86,13,0,1,0,0,0,0,0,0,0
